filename,width,height,class,xmin,ymin,xmax,ymax
2_141_jpg.rf.ac6593e08df76f1879a9291ad0b48225.jpg,640,480,2,43,100,364,415
4_193_jpg.rf.aca8d120735b1e2ed7106ccc258c5e06.jpg,640,480,4,25,41,451,396
1_55_jpg.rf.acb1e79c71e47fce6e874d5a6054323c.jpg,640,480,1,211,117,451,480
3_11_jpg.rf.acb7d948dd8f7c8d663c175e1ee3cc2e.jpg,640,480,3,0,82,407,398
0_149_jpg.rf.acca3ee23cbedc4e1ba865ce87ed7bfe.jpg,640,480,0,171,134,410,312
4_73_jpg.rf.ad07167212965a97479c091b01803321.jpg,640,480,4,194,103,559,413
1_154_jpg.rf.ad0d9fd817443257f67526a3925bd8de.jpg,640,480,1,107,124,457,480
1_128_jpg.rf.ad1c5b1aa6d9c4abead667f92ac0ebd4.jpg,640,480,1,125,132,561,480
3_171_jpg.rf.ad2821034f9ae43859764197899cf577.jpg,640,480,3,193,114,503,439
0_87_jpg.rf.ad5beeb3c640c7facae2f99ac1ea23ac.jpg,640,480,0,280,110,530,263
0_141_jpg.rf.adb7ad2d3b644d5a864b64607349c758.jpg,640,480,0,204,130,526,402
0_113_jpg.rf.adf8a9b520b795799fbb650790479b2a.jpg,640,480,0,156,138,484,375
3_178_jpg.rf.ae11a6f09363576813c17d6d77f46cc1.jpg,640,480,3,229,84,537,413
4_157_jpg.rf.aea1df403df7e5885c2e0dcfda8663bd.jpg,640,480,4,107,86,533,480
3_11_jpg.rf.aeae4a2907f2d066f4fe7389240fad6a.jpg,640,480,3,18,143,388,387
4_121_jpg.rf.aeb4b3fbc014eba8ef15a5e95eb8acc5.jpg,640,480,4,87,34,532,449
3_11_jpg.rf.aebcdbe5f13b7b8e0eac806f375cf39a.jpg,640,480,3,4,130,422,456
1_212_jpg.rf.aeb53cc265ef64d8dfb51e79fae25133.jpg,640,480,1,182,35,579,474
2_188_jpg.rf.aef64134c494a7b72d409a2e541e1a2f.jpg,640,480,2,245,129,516,417
1_198_jpg.rf.ae324449bd94e8ba3095a9f3de3e2b23.jpg,640,480,1,17,103,462,480
